% Model:              helix_arf_verified_ni_paramsw.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 4 2020, 23:40
% Table:              Table 3 - Surface Integration 1
% hel_length                                      (((1/(2*rholiq*c0^2)*acpr.p_t*conj(acpr.p_t)/2-1/2*rholiq*(acpr.vx*conj(acpr.vx)+acpr.vy*conj(acpr.vy)+acpr.vz*conj(acpr.vz))/2)*acpr.nz+rholiq*real((acpr.nx*acpr.vx+acpr.ny*acpr.vy+acpr.nz*acpr.vz)*conj(acpr.vz))/2)) (N)
3.0E-5                                            -2.344134938297539E-11
3.5000000000000004E-5                             -2.7363933634907806E-11
4.0E-5                                            -3.1246112751609094E-11
4.5E-5                                            -3.5178623926456065E-11
5.0E-5                                            -3.905378430602331E-11
5.5E-5                                            -4.296620541918663E-11
6.000000000000001E-5                              -4.676640517354435E-11
6.500000000000001E-5                              -5.072704058536107E-11
7.000000000000001E-5                              -5.476349067068314E-11
7.500000000000001E-5                              -5.862306261310589E-11
8.0E-5                                            -6.239931265668675E-11
8.5E-5                                            -6.636080907511422E-11
9.0E-5                                            -7.02576663048995E-11
9.5E-5                                            -7.380470682924414E-11
1.0E-4                                            -7.814308468964172E-11
1.05E-4                                           -8.231203140657854E-11
1.1E-4                                            -8.583779031799351E-11
1.15E-4                                           -8.961821744100012E-11
1.2E-4                                            -9.379364279494343E-11
1.25E-4                                           -9.736301883357512E-11
1.3000000000000002E-4                             -1.0062032161028197E-10
1.35E-4                                           -1.0484478266259874E-10
1.4000000000000001E-4                             -1.0898005737110905E-10
1.45E-4                                           -1.1205783300101656E-10
1.5000000000000001E-4                             -1.1608003224830255E-10
1.55E-4                                           -1.195783655670024E-10
1.6E-4                                            -1.2301923287113417E-10
1.65E-4                                           -1.2731957725780667E-10
1.7E-4                                            -1.2939408428687157E-10
